"Vremenska oznaka","1. Gender:","2. Age:","3. Country:","4. Place of living:","5. Profession:","6. Level of education:","7. Monthly income:","8. Ethnic origin:","9. Marital Status:","10. Children:","11. How much time you spend online per day?","12. How often do you buy online?","13. How often do you buy using your mobile phone?","14. How much do you use mobile phone and it's apps?","15. How socially active are you?","16. How much do you use social networks?","17. How sporty are you?","18. How much do you care about environment protection and animals?","19. How trendy are you?","20. How much do you care about your skin?","21. Do you use skincare products?","22. How much informed are you before buying skincare products?","23. How much do you care about expert's recommendations on skincare products?","24. How much do you care about friend's recommendations on skincare products?","25. How much influence on your skincare brand choice has a celebrity recommendation?","26. Where do you buy skincare products?","27. How much (at average) you spend on skincare products per month?","28. What brand of skincare products do you use?","29. How much do you care about natural ingredients in skincare products?","30. How much do you care about the price of a skincare product?","31. How much do you care about the quality of a skincare product?","32. Do you prefer premium or mass products? ","33. How much do you care about the social image of the skincare brand you are buying products from?","34. How much do you care about a store (online or offline) service of the skincare brands?","35. How important for you are free samples before buying?","36. How important for you are a good return policies of skincare brand?","37. How important for you are a skincare brand's environmental and animal testing policies?","38. Do you know brand Kiehl's?","39. Do you use Kiehl's products?","40. What's your level of satisfaction with Kiehl's products?","41. What's your level of satisfaction with Kiehl's service?","42. Would you recommend Kiehl's to your friends and acquaintances?","43. What is your favorite Kiehl's product?","44. What do you associate Kiehl's with?","45. If you buy online skincare products, what service do you use to buy them?","46. Why you use this service?","47. What are your favorite things about this service?","48. How satisfied are you with the online service you are using?","49. How often do you visit online store for skincare products?","50. How many skincare products do you buy online per month?","51. How long you shop before making a purchase of skincare products online?","52. How many items do you buy per online purchase of skincare products?","53. Where on showrooming-webrooming level do you see yourself?","54. Would you use Kiehl's online service?"
"2019/03/15 3:55:51 PM CET","Female","20-29","Germany","Big city","Student","High school graduate","$500-$799","White","Single, never married","0","5","3","7","9","6","9","9","10","7","10","Yes","9","10","8","2","1","$100-$199","La Roche Posay & LUSH","9","2","7","9","7","6","10","10","10","10","Yes","4","3","1","","New York;L'Oreal","","","","","","","","","","2"
"2019/03/15 4:01:34 PM CET","Male","20-29","USA","Small town","Nurse","Bachelor's degree or eqvivalent","$1000-$1499","White","Single, never married","0","7","9","9","8","3","4","3","10","6","7","Yes","8","8","3","1","6","$10-$19","Unscented ones. Free and Clear, vanicream, cerave etc","1","7","10","3","1","6","3","7","3","7","No","","","","","","Amazon","Prime","Variety, free shipping ","7","8","5","8","1","3","7"
"2019/03/15 4:52:54 PM CET","Male","20-29","Israel","Small town","Software Engieneer","Bachelor's degree or eqvivalent",">$3000","White","Single, never married","0","10","10","10","10","10","10","10","10","10","10","Yes","10","10","10","10","10",">$200","Garnier","10","10","10","10","10","10","10","10","10","10","Yes","10","10","10","Mr.Bones","Kiehl's Customer Representatives (store experts in white lab coats);Mr. Bones;Harley Davidson;Free samples;Natural products;Premium products;New York;Quality;Social initiatives - for curing AIDS, helping children and protecting the environment;L'Oreal","ssd","sdsdf","sfsfs","10","10","10","10","10","10","10"
"2019/03/15 5:03:49 PM CET","Female","20-29","Israel ","Big city","Student ","High school graduate","<$500","White","Single, never married","0","8","7","3","10","4","1","1","10","7","7","Yes","10","7","5","1","7","<$10","No brands. Natural products like shea butter etc","10","10","10","1","1","1","1","1","10","5","No","","","","","","","","","","","","","","","1"
"2019/03/15 5:09:33 PM CET","Female","20-29","United Kingdom","Small town","Purchasing","Bachelor's degree or eqvivalent","$1500-$3000","White","Single, never married","0","7","5","3","8","3","4","2","7","3","9","Yes","9","5","3","1","7","<$10","Cerave, The Ordinary","2","7","8","4","2","3","3","4","1","2","No","","","","","","Beauty Bay","They're one of the only places in the UK which sells The Ordinary","Cheap","7","3","1","8","3","7","2"
"2019/03/15 5:16:43 PM CET","Male","<20","United States","Big city","Student","Bachelor's degree or eqvivalent","<$500","White","Single, never married","0","8","3","2","6","8","5","4","9","3","3","No","","","","","","","","","","","","","","","","","7","No","","","","","","","","","","","","","","","2"
"2019/03/15 5:45:25 PM CET","Female","<20","hong kong","Rural area","nothing","No schooling completed","<$500","White","Single, never married","0","3","4","4","3","1","1","4","3","1","1","No","4","5","4","4","3","$10-$19","","4","3","4","6","4","3","4","2","6","4","No","3","2","4","","Mr. Bones","","","","4","4","4","5","6","4","5"
"2019/03/15 5:51:47 PM CET","Male","20-29","Iceland","Big city","IT Workshop technician","High school graduate",">$3000","White","Single, never married","0","10","8","1","3","2","2","2","10","3","1","No","","","","","","","","","","","","","","","","","1","No","","","","","","","","","","","","","","","1"
"2019/03/15 11:16:34 PM CET","Male","<20","Austria","Big city","Selling","Nursery school to 8th grade","$1000-$1499","White","Single, never married","0","6","4","7","7","8","7","8","10","6","9","Yes","9","7","8","1","1","$10-$19","Rituals, Nivea and some more","8","3","10","7","1","1","4","1","9","1","No","","","","","","","","","","","","","","","4"
"2019/03/15 11:43:34 PM CET","Male","20-29","Estonia","Big city","Software developer","High school graduate","$1000-$1499","White","Single, never married","0","8","2","1","3","4","2","5","7","1","5","No","1","3","3","1","2","<$10","anything","3","7","6","5","6","3","2","2","7","1","No","","","","","","","","","","","","","","","5"
"2019/03/15 11:55:44 PM CET","Female","20-29","Nigeria ","Big city","Youtubber","Bachelor's degree or eqvivalent","$800-$1000","Black or African","Single, never married","0","3","8","10","10","6","5","4","8","8","6","Yes","10","10","8","6","8","$10-$19","DIY","10","10","10","10","7","7","5","10","","1","No","","","","","","Jumia","Because it’s trusted ","Fast delivery and good customer care reception ","9","1","1","8","4","5","6"
"2019/03/16 12:04:00 AM CET","Female","20-29","USA","Small town","N/A","High school graduate","<$500","White","Single, never married","0","7","4","1","6","2","3","1","9","1","5","Yes","4","4","6","1","1","<$10","","6","9","7","5","7","3","4","9","7","1","No","","","","","","","","","","","","","","","5"
"2019/03/16 12:34:49 AM CET","Female","<20","USA","Small town","Student","High school graduate","<$500","White","Single, never married","0","8","2","1","10","6","10","3","8","7","6","Yes","6","5","8","7","1","<$10","ELF, pacifica","6","7","9","5","4","4","1","7","6","1","No","","","","","","","","","","","","","","","5"
